蔬果 车厘子 20 60 79.9 50 8.8 11 30 95 68 0 0 1 1
零食 巧克力饼干 69 10 15 50 17.6 22 0 69 17.6 0 0 2 2
零食 薯片 76 6 8 25 12 15 0 51 12 0 0 3 3
蔬果 蓝莓 21 15 19.9 45 9.6 12 0 40.8 9.6 0 0 4 4
服装 西装外套 37 198 220 13 4 5 0 17 4 0 0 5 5
蔬果 火罐柿 41 8.8 9.9 6 3.2 4 1 15.6 5.2 0 0 6 6
电子产品 华为mate30 15 3200 3599 40 8.8 11 1 5.4 10.8 0 0 7 7
蔬果 西梅 24 15 23 15 0.8 1 0 3.4 0.8 0 0 8 8
服装 橘色毛衣 43 106 129 10 0.8 1 0 3.4 0.8 0 0 9 9
文具 活页纸 22 10 13 64 8 10 2 2 12 0 0 10 10
电子产品 华为P20 2 2050 2588 8 5.6 7 56 0.2 117.6 0 0 11 11
美妆 KIKO粉底 65 120 149 20 16 20 0 0 16 0 0 12 12
电子产品 华为P40 12 5000 6488 30 12 15 0 0 12 0 0 13 13
美妆 INTOYOU唇彩 30 35 59 34 6.4 8 0 0 6.4 0 0 14 14
文具 荧光笔 76 6 8 23 3.2 4 0 0 3.2 0 0 15 15
电子产品 华为P40Pro+ 13 7000 8888 20 0 0 0 0 2 华为P40Pro+ 1 16 16
电子产品 华为P40 14 4000 4488 11 0 0 0 0 0 0 0 17 17
文具 笔记本 39 6 9 35 0 0 0 0 0 0 0 18 18
电子产品 华为mate30pro 16 6000 6369 30 0 0 0 0 0 0 0 19 19
电子产品 华为P30 17 2800 3100 25 0 0 0 0 0 0 0 20 20
电子产品 华为P30pro 18 3100 3288 5 0 0 0 0 0 0 0 21 21
电子产品 华为mate20pro 19 3100 3350 23 0 0 0 0 0 0 0 22 22
零食 饼干 67 10 12 65 0 0 0 0 0 0 0 0 0
